fid,district,dist_name,shape_star,shape_stle,SHAPE__Len,SHAPE__Are,dist_area,OBJECTID,STATEFP20,COUNTYFP20,TRACTCE20,GEOID20,NAME20,NAMELSAD20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,ShapeSTAre,ShapeSTLen,trac_area,int_area
"3","3",Eastern,104189685.716000005602837,52305.266022900010285,20604.723810537063400,16189194.131413916125894,"9680008","2219","24","510","080302","24510080302","803.02",Census Tract,G5020,S,"439533","0","+39.3059215","-076.5764340",735097.074218750000000,3456.889212495627362,"439534","439534"
"3","3",Eastern,104189685.716000005602837,52305.266022900010285,20604.723810537063400,16189194.131413916125894,"9680008","2220","24","510","080400","24510080400","804",Census Tract,G5020,S,"250976","0","+39.3056714","-076.5861659",419744.304687499941792,2707.882234525006425,"250978","250978"
"3","3",Eastern,104189685.716000005602837,52305.266022900010285,20604.723810537063400,16189194.131413916125894,"9680008","2221","24","510","080500","24510080500","805",Census Tract,G5020,S,"348376","0","+39.3141597","-076.5938464",582775.417968750000000,3452.674001713088728,"348376","320480"
"3","3",Eastern,104189685.716000005602837,52305.266022900010285,20604.723810537063400,16189194.131413916125894,"9680008","2222","24","510","080600","24510080600","806",Census Tract,G5020,S,"336416","0","+39.3104188","-076.5934776",562703.062500000000000,3217.286207612534326,"336413","336413"
"3","3",Eastern,104189685.716000005602837,52305.266022900010285,20604.723810537063400,16189194.131413916125894,"9680008","2529","24","510","060300","24510060300","603",Census Tract,G5020,S,"187111","0","+39.2942438","-076.5855106",312828.871093750000000,2276.803466207080419,"187111","61182"
"3","3",Eastern,104189685.716000005602837,52305.266022900010285,20604.723810537063400,16189194.131413916125894,"9680008","2531","24","510","080800","24510080800","808",Census Tract,G5020,S,"327456","0","+39.3036982","-076.5930531",547618.945312500000000,3183.396515713953249,"327457","327457"
"3","3",Eastern,104189685.716000005602837,52305.266022900010285,20604.723810537063400,16189194.131413916125894,"9680008","2536","24","510","100100","24510100100","1001",Census Tract,G5020,S,"453808","0","+39.3032186","-076.6047442",758911.222656250000000,4014.925437688766579,"453808","451235"
"3","3",Eastern,104189685.716000005602837,52305.266022900010285,20604.723810537063400,16189194.131413916125894,"9680008","2554","24","510","090900","24510090900","909",Census Tract,G5020,S,"686864","0","+39.3084221","-076.6035994",1148822.675781250000000,4290.970007378519767,"686864","686864"
"3","3",Eastern,104189685.716000005602837,52305.266022900010285,20604.723810537063400,16189194.131413916125894,"9680008","2555","24","510","120400","24510120400","1204",Census Tract,G5020,S,"281025","0","+39.3138354","-076.6123840",470107.484375000000000,2766.362515425598758,"281027","165780"
"3","3",Eastern,104189685.716000005602837,52305.266022900010285,20604.723810537063400,16189194.131413916125894,"9680008","2557","24","510","080301","24510080301","803.01",Census Tract,G5020,S,"268608","0","+39.3057013","-076.5820327",449229.726562500000000,2843.395079883591279,"268608","268608"
